Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",85.480000,-90.000000,0.000000,top
"C2","100n","C_0402_1005Metric",85.480000,-80.000000,180.000000,top
"C3","100n","C_0402_1005Metric",85.480000,-70.000000,180.000000,top
"C4","100n","C_0402_1005Metric",85.480000,-60.000000,180.000000,top
"C5","100n","C_0402_1005Metric",85.480000,-50.000000,180.000000,top
"C6","100n","C_0402_1005Metric",85.480000,-40.000000,0.000000,top
"C7","100n","C_0402_1005Metric",85.480000,-30.000000,0.000000,top
"C8","100n","C_0402_1005Metric",85.000000,-20.000000,180.000000,top
"C9","100n","C_0402_1005Metric",95.480000,-90.000000,0.000000,top
"C10","100n","C_0402_1005Metric",95.380000,-80.000000,180.000000,top
"C11","100n","C_0402_1005Metric",95.480000,-70.000000,0.000000,top
"C12","100n","C_0402_1005Metric",95.480000,-60.000000,180.000000,top
"C13","100n","C_0402_1005Metric",95.480000,-50.000000,180.000000,top
"C14","100n","C_0402_1005Metric",95.480000,-40.000000,180.000000,top
"C15","100n","C_0402_1005Metric",95.480000,-30.000000,180.000000,top
"C16","100n","C_0402_1005Metric",95.480000,-20.000000,180.000000,top
"C17","100n","C_0402_1005Metric",105.480000,-90.000000,180.000000,top
"C18","100n","C_0402_1005Metric",105.480000,-80.000000,180.000000,top
"C19","100n","C_0402_1005Metric",105.480000,-70.000000,180.000000,top
"C20","100n","C_0402_1005Metric",105.480000,-60.000000,180.000000,top
"C21","100n","C_0402_1005Metric",105.480000,-50.000000,180.000000,top
"C22","100n","C_0402_1005Metric",105.480000,-40.000000,180.000000,top
"C23","100n","C_0402_1005Metric",105.480000,-30.000000,180.000000,top
"C24","100n","C_0402_1005Metric",105.480000,-20.000000,180.000000,top
"C25","100n","C_0402_1005Metric",115.480000,-90.000000,180.000000,top
"C26","100n","C_0402_1005Metric",115.480000,-80.000000,180.000000,top
"C27","100n","C_0402_1005Metric",115.480000,-70.000000,180.000000,top
"C28","100n","C_0402_1005Metric",115.480000,-60.000000,180.000000,top
"C29","100n","C_0402_1005Metric",115.480000,-50.000000,180.000000,top
"C30","100n","C_0402_1005Metric",115.480000,-40.000000,180.000000,top
"C31","100n","C_0402_1005Metric",115.480000,-30.000000,180.000000,top
"C32","100n","C_0402_1005Metric",115.480000,-20.000000,180.000000,top
"C33","100n","C_0402_1005Metric",125.480000,-90.000000,180.000000,top
"C34","100n","C_0402_1005Metric",125.480000,-80.000000,180.000000,top
"C35","100n","C_0402_1005Metric",125.480000,-70.000000,180.000000,top
"C36","100n","C_0402_1005Metric",125.480000,-60.000000,180.000000,top
"C37","100n","C_0402_1005Metric",125.480000,-50.000000,180.000000,top
"C38","100n","C_0402_1005Metric",125.480000,-40.000000,180.000000,top
"C39","100n","C_0402_1005Metric",125.480000,-30.000000,180.000000,top
"C40","100n","C_0402_1005Metric",125.480000,-20.000000,180.000000,top
"C41","100n","C_0402_1005Metric",135.480000,-90.000000,180.000000,top
"C42","100n","C_0402_1005Metric",135.480000,-80.000000,180.000000,top
"C43","100n","C_0402_1005Metric",135.480000,-70.000000,180.000000,top
"C44","100n","C_0402_1005Metric",135.480000,-60.000000,180.000000,top
"C45","100n","C_0402_1005Metric",135.480000,-50.000000,0.000000,top
"C46","100n","C_0402_1005Metric",135.480000,-40.000000,0.000000,top
"C47","100n","C_0402_1005Metric",135.480000,-30.000000,0.000000,top
"C48","100n","C_0402_1005Metric",135.480000,-20.000000,0.000000,top
"C49","100n","C_0402_1005Metric",145.480000,-90.000000,0.000000,top
"C50","100n","C_0402_1005Metric",145.480000,-80.000000,0.000000,top
"C51","100n","C_0402_1005Metric",145.480000,-70.000000,0.000000,top
"C52","100n","C_0402_1005Metric",145.480000,-60.000000,180.000000,top
"C53","100n","C_0402_1005Metric",145.480000,-50.000000,180.000000,top
"C54","100n","C_0402_1005Metric",145.480000,-40.000000,0.000000,top
"C55","100n","C_0402_1005Metric",145.480000,-30.000000,0.000000,top
"C56","100n","C_0402_1005Metric",145.480000,-20.000000,0.000000,top
"C57","100n","C_0402_1005Metric",155.480000,-90.000000,0.000000,top
"C58","100n","C_0402_1005Metric",155.480000,-80.000000,0.000000,top
"C59","100n","C_0402_1005Metric",155.480000,-70.000000,0.000000,top
"C60","100n","C_0402_1005Metric",155.480000,-60.000000,0.000000,top
"C61","100n","C_0402_1005Metric",155.480000,-50.000000,0.000000,top
"C62","100n","C_0402_1005Metric",155.480000,-40.000000,0.000000,top
"C63","100n","C_0402_1005Metric",155.480000,-30.000000,0.000000,top
"C64","100n","C_0402_1005Metric",155.480000,-20.000000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-93.350000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-83.350000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-73.350000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-63.350000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-53.350000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-43.350000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-33.350000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",87.550000,-23.350000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-93.350000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.450000,-83.350000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-73.350000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-63.350000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-53.350000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-43.350000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-33.350000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.550000,-23.350000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-93.350000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-83.350000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-73.350000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-63.350000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-53.350000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-43.350000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-33.350000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",107.550000,-23.350000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-93.350000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-83.350000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-73.350000,0.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-63.350000,0.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.450000,-53.350000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.450000,-43.350000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-33.350000,0.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550000,-23.350000,0.000000,top
"D33","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.450000,-93.350000,0.000000,top
"D34","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.550000,-83.350000,0.000000,top
